Name,Quant mass,cF17,cF3,cF29,cF36,cF41,cF12,cF24,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF25,cF34,cF18,cF10,cF28,cF21
(S)-(-)-2-Chloropropionic acid,64.12383,2216330.514,2216330.51,2216330.514,2216330.514,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5,2216330.5
"1-Butene, 3-methyl-",55.083698,162512699.7,213388303,2246471762,3116345695,1335378.4,1.14E+10,154921336,1503186,4.59E+09,1528203.2,497040962,301912717,3.95E+09,889054801,227624528,1.46E+11,2.45E+10,2602958.8,7019036.6,2.96E+12,5.82E+09,4641283.9,18902276,9708658.8,1.99E+11,540515674,933220270,6722034.5,3681890.8,4.05E+09,22682612,5.88E+09
1-Hexanol,56.096915,955315374.6,164883927,2270807950,889997535.5,1668488.4,59602223,547569914,1732734.4,441615637,739605.55,373517551,168461490,3.03E+10,337565692,126712829,941026642,1.80E+10,4136280,81389226,8.22E+09,2.88E+09,3181878.7,36136958,60112007,1.19E+10,394858809,2.26E+09,20204977,11577224,1.86E+09,1.67E+09,737165176
"1-Hexanol, 2-ethyl-",57.101699,6523904853,4019342393,18885763811,7329405368,18842287,102426602,986495401,111921081,2.23E+10,26697042,4.15E+09,5.86E+09,6.18E+10,7.42E+09,1.88E+09,5.20E+09,6.41E+09,57958829,1.90E+09,1.56E+10,2.64E+10,230232889,339921748,562386977,2.46E+10,7.02E+09,1.31E+10,322921221,172485594,2.55E+10,7.40E+09,1.91E+10
"1-Nonene, 4,6,8-trimethyl-",69.129394,2583874384,329302412,6737956036,1315333025,3933134.8,48036228,551554008,18247469,2.94E+09,5569148.4,719800010,192664954,1.47E+10,2.43E+09,478730916,227584870,6.83E+09,2473144.6,95198413,3.13E+09,1.08E+09,6700389.8,35000626,31016912,3.44E+09,1.22E+09,3.77E+09,72276046,9259727.6,6.18E+09,796556110,6.78E+09
1-Octen-3-ol,57.059998,1788645671,17946395.9,2316811192,4250032185,5382936.7,51296389,891313272,5528821.7,501137086,1361704.6,1.05E+09,429325147,3.40E+11,7.41E+09,1.43E+09,1.80E+09,9.87E+09,31847400,387791514,1.41E+09,1.67E+09,25066506,13543918,165710471,1.90E+10,1.29E+09,3.27E+09,30710948,97691525,3.75E+09,3.57E+09,2.06E+09
1-Pentanol,55.076713,1740657819,325060802,4218946389,1542083937,3815608.2,838506427,604619578,4572549.1,575846517,660291.53,359334286,6622252.2,1.78E+10,642988671,159399552,106457130,3.27E+09,671462.84,31316706,6.02E+09,3.01E+10,5035076.7,32348746,2250140.2,4.01E+09,610131561,2.94E+09,40481726,4833613.2,1.91E+09,80711746,1.57E+09
"1-Propanol, 2-methyl-",74.103768,9010932.459,12278017.1,54585052.59,34960121.26,11572.349,633895091,5767671.7,76874.011,8434597.8,20406.893,1883150.7,11046197,80176619,5402035.2,7810932,52884394,19482710,479629.95,3892291,1.16E+11,13336982,3294244.5,5665540.4,198768.52,248359018,5336063.8,8854854.9,399581.18,3448.3486,44443670,18133855,79698939
"1,2-Benzenediol, O-dichloroacetyl-O'-(3-methylbut-2-enoyl)-(1)",82.900818,47858291.72,1546135.62,8458144.193,10757374.69,240614.77,14805.116,78439.452,14733.257,2410685.8,14361.897,9072864.1,6981548.4,71941583,2119220.1,134637.72,9.78E+12,143894.6,10173.327,9.72E+09,0,0,828587189,32358.026,22873498,1567452.4,382184.42,3126694.9,10316.318,2.26E+11,1819778.5,1.22E+10,106196.15
"1,2-Benzenediol, O-dichloroacetyl-O'-(3-methylbut-2-enoyl)-(2)",83.063051,38736725.47,2.28E+13,1.14E+14,3887665.822,39847.464,8.87E+11,4.86E+12,23079.946,3.05E+13,16788.509,2891856.4,4315427.6,32545587,3.11E+13,6.59E+12,2.24E+13,14469640,185466.81,8.63E+09,1.48E+10,185323634,953435272,377156.58,982177.39,48752898,1360105.3,6749785.6,256457.35,1.97E+11,21035864,20048093,13702945
