Name,cF17,cF3,cF29,cF36,cF8,cF41,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF7,cF13,cF34,cF18,cF10,cF28,cF21,cF44,cF12,cF35,cF24,cF6
"(±)-4-Methyl-N-ethyl-norephedrine, N-trimethylsilyl-, trimethylsilyl ether(1)",8740983.276,22647808.28,37247944.84,54914132.83,3405456.282,22461119.32,111279763.3,1170234.641,53158336.39,29997896.34,7279227.717,14608733.5,327006947,789546287.6,9770067.912,824866048.3,40595750.53,288050504.9,807989383.9,289667747.1,117540364.8,39304681.79,27457762.79,10272291.55,68111457.94,72990535.08,15475615.54,108925811.6,49218763.42,418392781.4,6194869.211,253351630.8,2580046640,4788994.258,890926189.4,47244630.53,919873680.8
"(±)-4-Methyl-N-ethyl-norephedrine, N-trimethylsilyl-, trimethylsilyl ether(2)",5642453.854,229687297,25335045.8,79212736.99,38237438.91,764261183.4,119481028.3,957911.1934,61462326.51,42874035.94,19176675.94,416538576.1,494452364,2503639679,9672596.935,744426219.4,104238937.5,4160589535,510906216.4,768727450.1,161787742.2,75481667.04,1435531.609,9255611.574,70455397.23,374122728.1,54342402.57,143361126.6,2566695719,527833481.2,153117035.9,580789050.7,4481159898,4530716.137,152401364.2,26562629.26,18972040594
"(1-(4-Bromophenyl)cyclopropyl)methanamine, 2TMS",4536337.195,48226242.16,44272311.49,51475525.97,3716971.338,180091891.3,2094522.024,498087.2415,14383185.79,12978526.88,18149000.15,17227134.13,294410756.5,558134688.8,7631748.728,1096271639,39377367.49,174531332.9,56295191.02,254091021.6,11502779.1,8936240.053,110166.6999,16220182.71,31418331.57,218966816.4,80177885.03,40425172.47,58947447.69,76389108.6,14260343.15,208253647.3,1376413817,5608866.547,59567363.27,18373388.56,4703899894
(2-Methyloxan-2-yl)methanol,10276558.31,111393468.8,34267336.7,207068811.9,7340365.046,273627965.9,334124698.1,13210832.51,112194470,176286534.5,12796189.11,29350309.28,230361874.9,512135169.6,2722583.829,844636559.8,47731933.64,33562348.41,24820642.08,126318025.8,580751863.5,27407434.61,15151895.89,1835541.376,58783817.51,143852224,18391843.64,83345913.27,50464284.16,139447853.2,43700761.21,1226697328,216849152.9,21459204.96,316736288,28611079.54,4266109641
"(2R,3S,4S,5R,6R)-2-(Hydroxymethyl)-6-(4-methylpentoxy)oxane-3,4,5-triol, 4TMS",390828.9434,10012545.95,3464370.089,25415554.99,211574.7496,27003818.96,147943017.3,878946.0192,16263551.6,5084295.69,16450734.86,21325870.84,192517911.1,111860890.4,7789264.045,221412113.8,20297471.07,337442358.9,16244899.64,8196880.121,70051213.78,13002091.44,5839810.121,1664963.404,10960728.9,49286954.96,9183105.743,24537140.38,574926722.9,91222286.83,34784277.33,1741874775,241340786.1,3461209.514,57077630,17566460.54,1619628976
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(1)",242117452.8,4028236107,1782951491,6830957854,606889082.4,8411765217,2879963176,43964004.99,2845744504,1543359106,468540386.7,3821767730,41647547883,27544478328,231766153.3,7141548302,673440046.3,48653106356,6647968400,11493470992,4813287179,1434355057,150570527.3,295125116.8,1449085121,17604087812,1964461167,2165018430,29558183779,11809750015,3349685938,24113972467,69455256890,78808703.14,16291458087,1252026650,2.48E+11
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(2)",269426.9811,2639170.014,846995.7033,1704045.222,140127.4467,2885993.716,149309935.6,75121.11761,1813893.935,2569158.899,1757147.863,55170366.13,333104340,160202030.7,1904234.699,210246519.5,5487056.524,172176403.3,35283688.23,76659915.07,18823265.73,3060399.059,6393124.565,938809.8223,8475948.033,11073914.21,17156398.72,21526292.74,22538937.4,111033987.6,47598840.41,37978495.41,114499675.3,447919.7724,20540090.04,2203990.517,629832046.3
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(3)",213815.8064,5919592.294,5536435.059,7297386.606,891978.7737,20486023.14,4606246.972,117331.9346,5344180.678,2884653.556,390656.358,715208.8096,84899883.15,297563329.7,1461919.478,226201933.1,8730309.975,157894066.4,52879856.89,104347368.3,19772013.06,2867101.39,210845.6582,2046264.339,21088357.92,8175690.387,78667961.07,24373529.24,63122914.49,2483350.912,959638.8989,41195477.4,111096319.4,479861.3759,34888587.51,5024592.922,1315169368
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(4)",907891.422,21948827.53,624833.5772,2431142.805,175160.1938,14921554.35,1154469.533,121252.1571,1555048.002,2621601.793,1009738.996,4162766.082,28579458.84,434582952.4,2791848.515,4614852.484,1526129.661,28751340.68,38401636.42,5821088.976,2080181.75,310335.3827,6510.716258,187883.8631,1624436.008,107733466.7,105290.2579,593377.77,209349951.9,26478895.71,1011148.076,70425025.87,115623659.1,479445.0357,2002500.117,1842753.906,584794814.9
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(5)",6419.928425,933267.229,369645.6419,732522.7298,53245.84855,2695179.458,2654.569308,264.5897097,600337.2428,18622.28111,25602.0583,1391462.085,12925570.18,11677938.79,247729.0253,7899731.146,419141.8483,22382578.4,54987898.73,5919534.039,1266198.557,317692.8404,98768.67569,184060.3094,352791.2619,11767578.25,2681488.049,105021.9945,15262380.39,5899427.059,977114.9448,1448770.49,10131434.67,35407.65901,6111.175522,20255.0152,115669216.9
